epoch: 0	train ppl: 275516.7548779708	val ppl: 2363565.8930556015	best val: 2363565.8930556015	time (s) spent in epoch: 36.97803354263306
epoch: 1	train ppl: 5661.127228030385	val ppl: 2001.8830386186578	best val: 2001.8830386186578	time (s) spent in epoch: 36.60340213775635
epoch: 2	train ppl: 1564.3876314936747	val ppl: 809.2752043241126	best val: 809.2752043241126	time (s) spent in epoch: 36.59157657623291
epoch: 3	train ppl: 970.9202053905445	val ppl: 763.5174397566473	best val: 763.5174397566473	time (s) spent in epoch: 36.58378624916077
epoch: 4	train ppl: 601.6178303383599	val ppl: 507.3554168646165	best val: 507.3554168646165	time (s) spent in epoch: 36.58176636695862
epoch: 5	train ppl: 458.1432065680707	val ppl: 363.4073071098503	best val: 363.4073071098503	time (s) spent in epoch: 36.58553647994995
epoch: 6	train ppl: 404.39352661180897	val ppl: 390.08530913735393	best val: 363.4073071098503	time (s) spent in epoch: 36.61111307144165
epoch: 7	train ppl: 367.66418645054904	val ppl: 350.40100544320654	best val: 350.40100544320654	time (s) spent in epoch: 36.60943388938904
epoch: 8	train ppl: 333.5846198537148	val ppl: 363.6095882737858	best val: 350.40100544320654	time (s) spent in epoch: 36.612628698349
epoch: 9	train ppl: 303.1485563117171	val ppl: 300.1521360085078	best val: 300.1521360085078	time (s) spent in epoch: 36.60482859611511
epoch: 10	train ppl: 273.58349992311736	val ppl: 297.60499134871515	best val: 297.60499134871515	time (s) spent in epoch: 36.60939073562622
epoch: 11	train ppl: 244.32887608282024	val ppl: 363.6584529303661	best val: 297.60499134871515	time (s) spent in epoch: 36.608633518218994
epoch: 12	train ppl: 227.8148795790803	val ppl: 266.9769316200322	best val: 266.9769316200322	time (s) spent in epoch: 36.60210204124451
epoch: 13	train ppl: 209.97757018897437	val ppl: 238.63556562499764	best val: 238.63556562499764	time (s) spent in epoch: 36.60789775848389
epoch: 14	train ppl: 187.67497023070746	val ppl: 249.8208114067329	best val: 238.63556562499764	time (s) spent in epoch: 36.605353593826294
epoch: 15	train ppl: 169.9184049044175	val ppl: 209.31166405776546	best val: 209.31166405776546	time (s) spent in epoch: 36.607452154159546
epoch: 16	train ppl: 153.03496681419747	val ppl: 197.43202947627023	best val: 197.43202947627023	time (s) spent in epoch: 36.60902261734009
epoch: 17	train ppl: 143.18866957328976	val ppl: 202.68963875278274	best val: 197.43202947627023	time (s) spent in epoch: 36.60512900352478
epoch: 18	train ppl: 133.49298940165386	val ppl: 170.68777041715384	best val: 170.68777041715384	time (s) spent in epoch: 36.605652809143066
epoch: 19	train ppl: 121.91201770655952	val ppl: 181.38642156955456	best val: 170.68777041715384	time (s) spent in epoch: 36.60450887680054
epoch: 20	train ppl: 110.96969480745304	val ppl: 182.676809163575	best val: 170.68777041715384	time (s) spent in epoch: 36.61093211174011
epoch: 21	train ppl: 106.7964689756219	val ppl: 173.6388442321719	best val: 170.68777041715384	time (s) spent in epoch: 36.60377073287964
epoch: 22	train ppl: 95.5221996390731	val ppl: 189.00797723539526	best val: 170.68777041715384	time (s) spent in epoch: 36.60446286201477
epoch: 23	train ppl: 89.83241529445691	val ppl: 190.8670948805426	best val: 170.68777041715384	time (s) spent in epoch: 36.60867214202881
epoch: 24	train ppl: 82.63013492918361	val ppl: 156.8674305119006	best val: 156.8674305119006	time (s) spent in epoch: 36.60770773887634
epoch: 25	train ppl: 77.33824552327064	val ppl: 180.6522501007623	best val: 156.8674305119006	time (s) spent in epoch: 36.60531401634216
epoch: 26	train ppl: 72.07815215885668	val ppl: 180.26110627016564	best val: 156.8674305119006	time (s) spent in epoch: 36.60791873931885
epoch: 27	train ppl: 66.34386325615728	val ppl: 192.65788982911937	best val: 156.8674305119006	time (s) spent in epoch: 36.60984683036804
epoch: 28	train ppl: 61.75670353767443	val ppl: 168.07186822724992	best val: 156.8674305119006	time (s) spent in epoch: 36.60924768447876
epoch: 29	train ppl: 57.01774522785876	val ppl: 204.28330444191596	best val: 156.8674305119006	time (s) spent in epoch: 36.60481643676758
epoch: 30	train ppl: 53.836231573650196	val ppl: 209.01647939159236	best val: 156.8674305119006	time (s) spent in epoch: 36.591609477996826
epoch: 31	train ppl: 49.53124871429515	val ppl: 183.83269242806506	best val: 156.8674305119006	time (s) spent in epoch: 36.591477394104004
epoch: 32	train ppl: 45.75291384066066	val ppl: 210.78673476656934	best val: 156.8674305119006	time (s) spent in epoch: 36.58236002922058
epoch: 33	train ppl: 42.606302116241714	val ppl: 235.89001871724136	best val: 156.8674305119006	time (s) spent in epoch: 36.579989194869995
epoch: 34	train ppl: 39.57142114716619	val ppl: 234.76258157279986	best val: 156.8674305119006	time (s) spent in epoch: 36.57258057594299
epoch: 35	train ppl: 36.85401735898534	val ppl: 258.9397977835714	best val: 156.8674305119006	time (s) spent in epoch: 36.57691788673401
epoch: 36	train ppl: 35.04562902591257	val ppl: 260.49810998995224	best val: 156.8674305119006	time (s) spent in epoch: 36.578004121780396
epoch: 37	train ppl: 31.76089640904552	val ppl: 287.7212766370553	best val: 156.8674305119006	time (s) spent in epoch: 36.578630208969116
epoch: 38	train ppl: 30.191588331265628	val ppl: 262.18249447936	best val: 156.8674305119006	time (s) spent in epoch: 36.580169439315796
epoch: 39	train ppl: 27.76965870472972	val ppl: 286.85633968756616	best val: 156.8674305119006	time (s) spent in epoch: 36.5820848941803
